common_name,scientific_name,worms_alpha_id,phylum,class,order,family,genus,species,,selenium (mcg),zinc (mg),omega_3 (mg),calcium (mg),iron (mg),vitamin_a (mcg),vitamin D (mcg),D2 ERGCAL(mcg),D3 CHOCAL(mcg),folate (mcg),vitamin_b12 (mg),iodine (mcg)
Atlantic salmon,Salmo salar,127186,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo salar,,18.56684744,0.253615201,1199.061634,11.33047589,0.379451918,11.9074505,4.7,,5.69,5,4.4,12
Atlantic mackerel,Scomber scombrus,127023,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber scombrus,,51.95536808,0.694573758,760.918991,20.10148527,0.704570517,16.81810264,8,,6.44,1,8.8,29
Atlantic cod,Gadus morhua,126436,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus morhua,,15.44717801,0.422098776,533.315366,9.579675117,0.124969796,10.65936332,0,,0.88,7,1.5,196
Skipjack tuna,Katsuwonus pelamis,127018,Chordata,Actinopteri,Scombriformes,Scombridae,Katuwonus,Katsuwonus pelamis,,87.39649576,1.540619588,449.731036,155.2889152,2.267505658,6.635559235,3.2,,,4,2.2,18
Haddock,Melanogrammus aeglefinus,126437,Chordata,Actinopteri,Gadiformes,Gadidae,Melanogrammus,Melanogrammus aeglefinus,,32.88016692,0.308687628,616.929001,10.18140899,0.175196758,7.920938296,0,0,0.5,10,1.9,320
Atlantic herring,Clupea harengus,126417,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea harengus,,16.47946925,1.028568358,914.504005,75.36142584,0.372178257,29.06716422,19,,9.59,9,13,29
Alaska pollock,Gadus chalcogrammus,300735,Chordata,Actinopteri,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,,14.47168841,0.445398332,336.97462,12.04720893,0.185400806,11.23677228,0,,,5,2.3,56
Rainbow trout,Oncorhynchus mykiss,127185 ,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,,264.571134,0.523086085,1042.40591,29.76506854,0.916872256,5.654445043,7.9,,6.9,9,2.8,5
Sea trout,Salmo trutta,127187,Chordata,Actinopteri,Salmoniformes,Salmonidae,Salmo,Salmo trutta,,19.12131521,0.5438428,558.997062,32.98564055,1.397001564,6.335406459,7.9,,,9,2.8,5
Ling,Molva molva,126461,Chordata,Actinopteri,Gadiformes,Lotidae,Molva,Molva molva,,32.48739074,0.280264175,368.429759,15.1905554,0.27794797,8.346642533,0,,,7,1, 
